System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"201.50","13.43","27.95","0.1947"
"202.00","13.47","27.95","0.1954"
"202.50","13.50","27.96","0.1960"
"203.00","13.53","27.97","0.1967"
"203.50","13.57","27.98","0.1974"
"204.00","13.60","27.99","0.1980"
"204.50","13.63","28.00","0.1987"
"205.00","13.67","28.00","0.1994"
"205.50","13.70","28.01","0.2001"
"206.00","13.73","28.02","0.2007"
"206.50","13.77","28.02","0.2014"
"207.00","13.80","28.03","0.2021"
"207.50","13.83","28.04","0.2027"
"208.00","13.87","28.04","0.2034"
"208.50","13.90","28.05","0.2041"
"209.00","13.93","28.06","0.2047"
"209.50","13.97","28.06","0.2054"
"210.00","14.00","28.07","0.2061"
"210.50","14.03","28.08","0.2067"
"211.00","14.07","28.08","0.2074"
"211.50","14.10","28.10","0.2081"
"212.00","14.13","28.10","0.2088"
"212.50","14.17","28.10","0.2094"
"213.00","14.20","28.12","0.2101"
"213.50","14.23","28.12","0.2108"
"214.00","14.27","28.12","0.2115"
"214.50","14.30","28.13","0.2121"
"215.00","14.33","28.14","0.2128"
"215.50","14.37","28.14","0.2135"
"216.00","14.40","28.16","0.2142"
"216.50","14.43","28.15","0.2149"
"217.00","14.47","28.17","0.2156"
"217.50","14.50","28.17","0.2162"
"218.00","14.53","28.17","0.2169"
"218.50","14.57","28.19","0.2176"
"219.00","14.60","28.19","0.2183"
"219.50","14.63","28.20","0.2190"
"220.00","14.67","28.21","0.2196"
"220.50","14.70","28.22","0.2203"
"221.00","14.73","28.22","0.2210"
"221.50","14.77","28.23","0.2217"
"222.00","14.80","28.24","0.2224"
"222.50","14.83","28.24","0.2231"
"223.00","14.87","28.25","0.2238"
"223.50","14.90","28.25","0.2245"
"224.00","14.93","28.26","0.2252"
"224.50","14.97","28.27","0.2259"
"225.00","15.00","28.28","0.2266"
"225.50","15.03","28.28","0.2273"
"226.00","15.07","28.29","0.2279"
"226.50","15.10","28.29","0.2286"
"227.00","15.13","28.30","0.2293"
"227.50","15.17","28.31","0.2300"
"228.00","15.20","28.31","0.2307"
"228.50","15.23","28.32","0.2314"
"229.00","15.27","28.32","0.2321"
"229.50","15.30","28.33","0.2328"
"230.00","15.33","28.34","0.2335"
"230.50","15.37","28.34","0.2342"
"231.00","15.40","28.34","0.2349"
"231.50","15.43","28.36","0.2356"
"232.00","15.47","28.36","0.2363"
"232.50","15.50","28.36","0.2370"
"233.00","15.53","28.37","0.2377"
"233.50","15.57","28.38","0.2384"
"234.00","15.60","28.38","0.2392"
"234.50","15.63","28.39","0.2399"
"235.00","15.67","28.39","0.2406"
"235.50","15.70","28.40","0.2413"
"236.00","15.73","28.40","0.2420"
"236.50","15.77","28.40","0.2427"
"237.00","15.80","28.41","0.2435"
"237.50","15.83","28.41","0.2442"
"238.00","15.87","28.42","0.2449"
"238.50","15.90","28.43","0.2456"
"239.00","15.93","28.43","0.2463"
"239.50","15.97","28.44","0.2470"
"240.00","16.00","28.45","0.2478"
"240.50","16.03","28.45","0.2485"
"241.00","16.07","28.45","0.2492"
"241.50","16.10","28.46","0.2499"
"242.00","16.13","28.46","0.2507"
"242.50","16.17","28.47","0.2514"
"243.00","16.20","28.49","0.2521"
"243.50","16.23","28.48","0.2529"
"244.00","16.27","28.49","0.2536"
"244.50","16.30","28.49","0.2543"
"245.00","16.33","28.50","0.2551"
"245.50","16.37","28.51","0.2558"
"246.00","16.40","28.51","0.2566"
"246.50","16.43","28.51","0.2573"
"247.00","16.47","28.52","0.2580"
"247.50","16.50","28.52","0.2588"
"248.00","16.53","28.53","0.2595"
"248.50","16.57","28.53","0.2602"
"249.00","16.60","28.54","0.2610"
"249.50","16.63","28.54","0.2617"
"250.00","16.67","28.55","0.2625"
"250.50","16.70","28.54","0.2632"
"251.00","16.73","28.55","0.2640"
"251.50","16.77","28.56","0.2647"
"252.00","16.80","28.56","0.2655"
"252.50","16.83","28.57","0.2662"
"253.00","16.87","28.57","0.2670"
"253.50","16.90","28.57","0.2678"
"254.00","16.93","28.58","0.2685"
"254.50","16.97","28.58","0.2693"
"255.00","17.00","28.58","0.2701"
"255.50","17.03","28.59","0.2708"
"256.00","17.07","28.59","0.2716"
"256.50","17.10","28.60","0.2723"
"257.00","17.13","28.60","0.2731"
"257.50","17.17","28.61","0.2739"
"258.00","17.20","28.61","0.2747"
"258.50","17.23","28.61","0.2754"
"259.00","17.27","28.62","0.2762"
"259.50","17.30","28.62","0.2770"
"260.00","17.33","28.62","0.2778"
"260.50","17.37","28.63","0.2785"
"261.00","17.40","28.64","0.2793"
"261.50","17.43","28.64","0.2801"
"262.00","17.47","28.64","0.2809"
"262.50","17.50","28.64","0.2817"
"263.00","17.53","28.65","0.2825"
"263.50","17.57","28.65","0.2832"
"264.00","17.60","28.66","0.2841"
"264.50","17.63","28.67","0.2849"
"265.00","17.67","28.66","0.2856"
"265.50","17.70","28.67","0.2864"
